LAMMPS data file via write_data, version 11 Apr 2015, timestep = 1250100

16380 atoms
26 atom types
13879 bonds
127 bond types
2814 angles
4 angle types

-5.3024729961535876e+01 5.3024729961535876e+01 xlo xhi
-5.3024729961535876e+01 5.3024729961535876e+01 ylo yhi
-5.3024729961535876e+01 5.3024729961535876e+01 zlo zhi

Masses

1 34.716
2 25.716
3 34.716
4 48.07
5 39.07
6 48.07
7 24.707
8 22.707
9 22.707
10 24.707
11 10.681
12 9.681
13 8.681
14 10.681
15 33.226
16 24.226
17 17.226
18 34.436
19 25.436
20 18.436
21 57.09
22 43.025
23 42.017
24 42.395
25 41.387
26 42.395

Bond Coeffs # harmonic

1 300 3.86133
2 300 4.18975
3 300 3.556
4 300 2.67034
5 300 3.29076
6 300 3.73382
7 300 4.8409
8 300 3.60687
9 300 4.28732
10 300 3.57605
11 300 3.79758
12 300 3.74025
13 300 3.96178
14 300 3.11317
15 300 3.42338
16 300 3.64491
17 300 2.98055
18 300 3.20208
19 300 3.9471
20 300 4.07433
21 300 4.23853
22 300 3.47883
23 300 3.92166
24 300 4.07433
25 300 4.07433
26 150 4.07433
27 100 4.07433
28 75 4.07433
29 60 4.07433
30 30 4.07433
31 15 4.07433
32 10 4.07433
33 7.5 4.07433
34 6 4.07433
35 5 4.07433
36 4.2857 4.07433
37 3.75 4.07433
38 3.333 4.07433
39 3 4.07433
40 2.7272 4.07433
41 2.5 4.07433
42 2.3077 4.07433
43 2.1429 4.07433
44 2 4.07433
45 1.875 4.07433
46 1.7647 4.07433
47 1.666667 4.07433
48 1.5789 4.07433
49 1.5 4.07433
50 300 4.23853
51 300 4.23853
52 150 4.23853
53 100 4.23853
54 75 4.23853
55 60 4.23853
56 30 4.23853
57 15 4.23853
58 10 4.23853
59 7.5 4.23853
60 6 4.23853
61 5 4.23853
62 4.2857 4.23853
63 3.75 4.23853
64 3.333 4.23853
65 3 4.23853
66 2.7272 4.23853
67 2.5 4.23853
68 2.3077 4.23853
69 2.1429 4.23853
70 2 4.23853
71 1.875 4.23853
72 1.7647 4.23853
73 1.666667 4.23853
74 1.5789 4.23853
75 1.5 4.23853
76 300 3.92482
77 300 3.92482
78 150 3.92482
79 100 3.92482
80 75 3.92482
81 60 3.92482
82 30 3.92482
83 15 3.92482
84 10 3.92482
85 7.5 3.92482
86 6 3.92482
87 5 3.92482
88 4.2857 3.92482
89 3.75 3.92482
90 3.333 3.92482
91 3 3.92482
92 2.7272 3.92482
93 2.5 3.92482
94 2.3077 3.92482
95 2.1429 3.92482
96 2 3.92482
97 1.875 3.92482
98 1.7647 3.92482
99 1.666667 3.92482
100 1.5789 3.92482
101 1.5 3.92482
102 300 3.47883
103 300 3.47883
104 150 3.47883
105 100 3.47883
106 75 3.47883
107 60 3.47883
108 30 3.47883
109 15 3.47883
110 10 3.47883
111 7.5 3.47883
112 6 3.47883
113 5 3.47883
114 4.2857 3.47883
115 3.75 3.47883
116 3.333 3.47883
117 3 3.47883
118 2.7272 3.47883
119 2.5 3.47883
120 2.3077 3.47883
121 2.1429 3.47883
122 2 3.47883
123 1.875 3.47883
124 1.7647 3.47883
125 1.666667 3.47883
126 1.5789 3.47883
127 1.5 3.47883

Angle Coeffs # harmonic

1 300 180
2 300 60
3 300 150
4 1 180

Atoms # molecular

7781 48 4 -4.8024441390387828e+01 -4.4376990400128939e+01 -4.6756391063808749e+01 0 1 0
12120 189 21 -4.5592243690194451e+01 -4.3054272908572763e+01 -4.1904050479501002e+01 -1 0 0
13863 1061 21 -5.1267986230250386e+01 -5.1691612835442932e+01 -4.3782820055359444e+01 1 1 1
12763 511 21 -4.7198324962844460e+01 -4.7974165994331912e+01 -4.2807929477830896e+01 1 1 0
7783 48 16 -4.6198185388504690e+01 -4.7743889152890119e+01 -4.7602537435962383e+01 0 1 0
7784 48 15 -4.4121150459600216e+01 -4.9159288862740503e+01 -4.5492678078198388e+01 0 1 0
7782 48 5 -4.9779368203473638e+01 -4.8229418291877273e+01 -4.6714559211461257e+01 0 1 0
7785 48 15 -4.4351120057463426e+01 -4.5951220161381670e+01 -4.4930651001981616e+01 0 1 0
7389 41 5 -3.9706800825605001e+01 -5.2509712518954032e+01 -4.3476672783208031e+01 0 1 0
7386 41 15 -4.0576762073412077e+01 -4.9046556104195538e+01 -4.5258511065714529e+01 0 1 0
7789 48 4 -4.7049436198435906e+01 -4.5344336468412564e+01 -5.1156127070267509e+01 0 1 0
7786 48 15 -4.3678095105268476e+01 -4.3477739126423572e+01 -4.6907564708236357e+01 0 1 0
7787 48 16 -4.2913973189711896e+01 -4.6281990310932507e+01 -4.8420385638105273e+01 0 1 0
7788 48 5 -4.3062781594208161e+01 -4.4832812470026830e+01 -5.1875545180240707e+01 0 1 0
12717 488 21 -4.4122249160751451e+01 -4.9482229991021889e+01 -5.1127177291031778e+01 -1 0 0
7790 48 5 -5.1157820252285021e+01 -4.5753912133162061e+01 -5.0247088381308750e+01 0 1 0
14876 1567 21 -5.0554919395702363e+01 -4.1349408487129807e+01 -4.3806071665291554e+01 1 1 0
12764 511 21 -5.1901165264191810e+01 -4.6807087901936917e+01 -4.2479283061272056e+01 1 1 0
7780 48 6 -4.6327407615679270e+01 -4.0592539851641156e+01 -4.7086824446712058e+01 0 1 0
12119 189 21 -4.1903858584504988e+01 -4.1411169336364004e+01 -3.9126999952230690e+01 -1 0 0
12718 488 21 -4.8992355551315093e+01 -4.9668251420228522e+01 -5.1667344496807424e+01 -1 0 0
13864 1061 21 -4.7149234895703195e+01 -5.2051266320214879e+01 -4.6285961662020064e+01 1 1 1
13893 1076 21 -4.0423728723825128e+01 -4.4456684065638910e+01 -4.3976214379544679e+01 0 -1 0
13894 1076 21 -4.2793216555671648e+01 -4.7121910480273357e+01 -4.0730596242529344e+01 0 -1 0
14186 1222 21 -4.2408958928134965e+01 -5.2751787391672934e+01 -4.8083134333684313e+01 1 0 0
3346 66 18 -4.4250385495733362e+01 -5.1451132389202364e+01 -4.2373736483961096e+01 1 0 1
14185 1222 21 -3.9347367169245778e+01 -4.9216910064745520e+01 -4.9423682266070216e+01 1 0 0
7387 41 15 -3.8055182464928535e+01 -4.7070566421795405e+01 -4.6065928971667709e+01 0 1 0
7384 41 16 -3.6020252212837761e+01 -4.7485563069125746e+01 -4.3026336431767021e+01 0 1 0
7385 41 15 -3.9010709177830122e+01 -4.8690864109180445e+01 -4.2440223827921635e+01 0 1 0
11800 29 21 -3.9527929320699918e+01 -4.3987641028049843e+01 -4.8860058918482544e+01 0 1 0
15656 1957 21 -3.3029430571719203e+01 -4.2446273342901243e+01 -5.0985393945083835e+01 0 1 0
7388 41 16 -3.7262122223454782e+01 -5.0104819423309607e+01 -4.4978321948792185e+01 0 1 0
11278 126 24 -3.0026537662164358e+01 -4.4888242117086122e+01 -4.2312873408939026e+01 0 1 0
11279 126 25 -3.3613251290135480e+01 -4.2712544908229368e+01 -4.1520804885486925e+01 0 1 0
13247 753 21 -3.0325242284004005e+01 -4.6022085394078680e+01 -4.7948416452763254e+01 0 0 1
15485 1872 21 -3.2688525006123918e+01 -4.9613604164286031e+01 -4.4621103436399288e+01 1 1 -1
13248 753 21 -2.8268450767594619e+01 -5.0414618212441340e+01 -4.8255155438066453e+01 0 0 1
7383 41 5 -3.4279807759175966e+01 -4.5033347624425957e+01 -4.5227713711164739e+01 0 1 0
12623 441 21 -3.1310267010486282e+01 -4.1302589289294851e+01 -4.6419313502515735e+01 1 0 1
13439 849 21 -3.3491750195447963e+01 -5.0806648992261948e+01 -4.9561034113903489e+01 0 -1 0
7382 41 4 -3.5102786240124807e+01 -4.6503203336764606e+01 -4.9089856618283576e+01 0 1 0
11799 29 21 -3.6656590040732929e+01 -4.0646918096365162e+01 -4.6937658749957386e+01 0 1 0
