LAMMPS data file via write_data, version 31 Mar 2017, timestep = 5000000

16380 atoms
26 atom types
14266 bonds
127 bond types
3588 angles
4 angle types

-1.5108958282579246e+02 1.5108958282579246e+02 xlo xhi
-1.5108958282579246e+02 1.5108958282579246e+02 ylo yhi
-1.5108958282579246e+02 1.5108958282579246e+02 zlo zhi

Masses

1 34.716
2 25.716
3 34.716
4 48.07
5 39.07
6 48.07
7 24.707
8 22.707
9 22.707
10 24.707
11 10.681
12 9.681
13 8.681
14 10.681
15 33.226
16 24.226
17 17.226
18 34.436
19 25.436
20 18.436
21 57.09
22 43.025
23 42.017
24 42.395
25 41.387
26 42.395

Bond Coeffs # harmonic

1 300 3.86133
2 300 4.18975
3 300 3.556
4 300 2.67034
5 300 3.29076
6 300 3.73382
7 300 4.8409
8 300 3.60687
9 300 4.28732
10 300 3.57605
11 300 3.79758
12 300 3.74025
13 300 3.96178
14 300 3.11317
15 300 3.42338
16 300 3.64491
17 300 2.98055
18 300 3.20208
19 300 3.9471
20 300 4.07433
21 300 4.23853
22 300 3.47883
23 300 3.92166
24 300 4.07433
25 150 4.07433
26 150 4.07433
27 100 4.07433
28 75 4.07433
29 60 4.07433
30 30 4.07433
31 15 4.07433
32 10 4.07433
33 7.5 4.07433
34 6 4.07433
35 5 4.07433
36 4.2857 4.07433
37 3.75 4.07433
38 3.333 4.07433
39 3 4.07433
40 2.7272 4.07433
41 2.5 4.07433
42 2.3077 4.07433
43 2.1429 4.07433
44 1.875 4.07433
45 1.875 4.07433
46 1.7647 4.07433
47 1.66667 4.07433
48 1.5789 4.07433
49 1.5 4.07433
50 150 4.23853
51 300 4.23853
52 150 4.23853
53 100 4.23853
54 75 4.23853
55 60 4.23853
56 30 4.23853
57 15 4.23853
58 10 4.23853
59 7.5 4.23853
60 6 4.23853
61 1.875 4.23853
62 4.2857 4.23853
63 3.75 4.23853
64 3.333 4.23853
65 3 4.23853
66 2.7272 4.23853
67 2.5 4.23853
68 2.3077 4.23853
69 2.1429 4.23853
70 2 4.23853
71 1.875 4.23853
72 1.7647 4.23853
73 1.66667 4.23853
74 1.5789 4.23853
75 1.5 4.23853
76 300 3.92482
77 150 3.92482
78 150 3.92482
79 100 3.92482
80 75 3.92482
81 60 3.92482
82 30 3.92482
83 15 3.92482
84 10 3.92482
85 7.5 3.92482
86 6 3.92482
87 5 3.92482
88 4.2857 3.92482
89 3.75 3.92482
90 3.333 3.92482
91 3 3.92482
92 2.7272 3.92482
93 2.5 3.92482
94 2.3077 3.92482
95 2.1429 3.92482
96 1.875 3.92482
97 1.875 3.92482
98 1.7647 3.92482
99 1.66667 3.92482
100 1.5789 3.92482
101 1.5 3.92482
102 300 3.47883
103 150 3.47883
104 150 3.47883
105 100 3.47883
106 75 3.47883
107 60 3.47883
108 30 3.47883
109 15 3.47883
110 10 3.47883
111 7.5 3.47883
112 6 3.47883
113 5 3.47883
114 4.2857 3.47883
115 3.75 3.47883
116 3.333 3.47883
117 3 3.47883
118 2.7272 3.47883
119 2.5 3.47883
120 2.3077 3.47883
121 2.1429 3.47883
122 1.875 3.47883
123 1.875 3.47883
124 1.7647 3.47883
125 1.66667 3.47883
126 1.5789 3.47883
127 1.5 3.47883

Angle Coeffs # harmonic

1 300 180
2 300 60
3 300 150
4 1 180

Atoms # molecular

12766 512 21 -1.3952141636524874e+02 -1.4858551189645331e+02 -1.4903951328974713e+02 -487 -186 -481
12765 512 21 -1.4185954967655243e+02 -1.4676508886140860e+02 -1.4523200566087928e+02 -487 -186 -481
12616 437 21 -1.3980113182000846e+02 -1.4143601178894070e+02 -1.4628389737418146e+02 -487 -186 -481
11780 19 21 -1.4470897175012149e+02 -1.4281600475935440e+02 -1.4333472467439196e+02 -486 -187 -481
2400 48 5 -1.3996631774316421e+02 -1.4882520262868863e+02 -1.4137896919696897e+02 -487 -187 -480
14288 1273 21 -1.4120527879371488e+02 -1.3983093183144905e+02 -1.4126953704608388e+02 -487 -186 -480
2398 48 4 -1.4575289098758091e+02 -1.4335771617808982e+02 -1.3882181395527056e+02 -487 -187 -480
2399 48 4 -1.4284548871244957e+02 -1.4607873964739957e+02 -1.4014320569394079e+02 -487 -187 -480
2404 48 15 -1.3762742331979746e+02 -1.4666032680242924e+02 -1.4567184628639535e+02 -487 -187 -480
2405 48 16 -1.3867645036855103e+02 -1.4972564685508573e+02 -1.4508051677722554e+02 -487 -187 -480
14588 1423 21 -1.3882182074106856e+02 -1.4428908759013095e+02 -1.4215397794097163e+02 -487 -187 -481
8921 68 4 -1.3722328563554828e+02 -1.4441335150403262e+02 -1.4889060676746766e+02 -487 -187 -480
8922 68 5 -1.3538343222137263e+02 -1.4341966549179722e+02 -1.4526146697304924e+02 -487 -187 -480
2401 48 16 -1.3660532831179779e+02 -1.4813357964818221e+02 -1.4283635165000223e+02 -487 -187 -480
197 4 19 -1.3480394921936119e+02 -1.4777223062038814e+02 -1.4924763917955624e+02 -487 -186 -480
198 4 18 -1.3271582109752006e+02 -1.4489123624268012e+02 -1.4810188900860797e+02 -487 -186 -480
2403 48 15 -1.3438500461448945e+02 -1.4717895015036680e+02 -1.4560841932084242e+02 -487 -187 -480
1078 22 15 -1.3139530881189535e+02 -1.4738332375526284e+02 -1.5084627418694436e+02 -487 -187 -480
15206 1732 21 -1.3138738680581133e+02 -1.4979635073290316e+02 -1.4727781216079578e+02 -487 -186 -479
14975 1617 21 -1.2839770955481103e+02 -1.4524016572782443e+02 -1.4878134747092261e+02 -488 -187 -481
15205 1732 21 -1.2832489504077989e+02 -1.5027614182192181e+02 -1.5098091975007756e+02 -487 -186 -479
1112 22 2 -1.3137759060146075e+02 -1.4197780134047258e+02 -1.5036163340627098e+02 -487 -187 -480
8923 68 16 -1.3456243902742236e+02 -1.4156904430899371e+02 -1.4840434541451700e+02 -487 -187 -480
199 4 18 -1.3159600004829028e+02 -1.4174584785652962e+02 -1.4637955957765271e+02 -487 -186 -480
2402 48 15 -1.3331153755507347e+02 -1.4839032069978825e+02 -1.4274124331593370e+02 -487 -187 -480
12814 536 21 -1.3038547513287074e+02 -1.4569592956431319e+02 -1.4425652694428598e+02 -488 -186 -480
16015 2137 21 -1.3178193939223675e+02 -1.4146450243814797e+02 -1.4192871547484418e+02 -487 -186 -481
1111 22 16 -1.2907230981837236e+02 -1.3985688474124152e+02 -1.4865671349138805e+02 -487 -187 -480
8930 68 5 -1.3654247419209165e+02 -1.4019409620819815e+02 -1.4176989916004430e+02 -487 -187 -480
14587 1423 21 -1.3453198547886211e+02 -1.4535303157887677e+02 -1.4016834741412904e+02 -487 -187 -481
10422 54 26 -1.3011403815973009e+02 -1.4804831518144312e+02 -1.4009746097110721e+02 -487 -187 -481
16016 2137 21 -1.2788121782500498e+02 -1.4379546470542815e+02 -1.4019873582779232e+02 -487 -186 -481
10415 54 25 -1.2643851768249530e+02 -1.5036933811177838e+02 -1.4648181221789943e+02 -487 -187 -481
12813 536 21 -1.2736413193883836e+02 -1.4199306079464907e+02 -1.4498102192388166e+02 -488 -186 -480
14976 1617 21 -1.2437588839396597e+02 -1.4257997180347365e+02 -1.4925783405805959e+02 -488 -187 -481
10416 54 24 -1.2550167662453502e+02 -1.4646956442360718e+02 -1.4499899551875910e+02 -487 -187 -481
204 4 4 -1.2333950487517599e+02 -1.4348863652876452e+02 -1.4207112856347479e+02 -487 -186 -480
203 4 4 -1.2490709849255551e+02 -1.3969576876891082e+02 -1.4131525068869649e+02 -487 -186 -480
16022 2140 21 -1.0340766338343511e+02 -1.4958906245682491e+02 -1.5049954981529038e+02 -488 -187 -481
11198 119 25 -7.8749387886574596e-02 -1.5069770235145694e+02 -1.3897272946165657e+02 -488 -187 -481
