LAMMPS data file via write_data, version 31 Mar 2017, timestep = 1000000

13789 atoms
26 atom types
12017 bonds
127 bond types
2100 angles
4 angle types

-4.8901697959536797e+01 4.8901697959536797e+01 xlo xhi
-4.8901697959536797e+01 4.8901697959536797e+01 ylo yhi
-4.8901697959536797e+01 4.8901697959536797e+01 zlo zhi

Masses

1 34.716
2 25.716
3 34.716
4 48.07
5 39.07
6 48.07
7 24.707
8 22.707
9 22.707
10 24.707
11 10.681
12 9.681
13 8.681
14 10.681
15 33.226
16 24.226
17 17.226
18 34.436
19 25.436
20 18.436
21 57.09
22 43.025
23 42.017
24 42.395
25 41.387
26 42.395

Bond Coeffs # harmonic

1 300 3.86133
2 300 4.18975
3 300 3.556
4 300 2.67034
5 300 3.29076
6 300 3.73382
7 300 4.8409
8 300 3.60687
9 300 4.28732
10 300 3.57605
11 300 3.79758
12 300 3.74025
13 300 3.96178
14 300 3.11317
15 300 3.42338
16 300 3.64491
17 300 2.98055
18 300 3.20208
19 300 3.9471
20 300 4.07433
21 300 4.23853
22 300 3.47883
23 300 3.92166
24 300 4.07433
25 300 4.07433
26 150 4.07433
27 100 4.07433
28 75 4.07433
29 60 4.07433
30 30 4.07433
31 15 4.07433
32 10 4.07433
33 7.5 4.07433
34 6 4.07433
35 5 4.07433
36 4.2857 4.07433
37 3.75 4.07433
38 3.333 4.07433
39 3 4.07433
40 2.7272 4.07433
41 2.5 4.07433
42 2.3077 4.07433
43 2.1429 4.07433
44 2 4.07433
45 1.875 4.07433
46 1.7647 4.07433
47 1.66667 4.07433
48 1.5789 4.07433
49 1.5 4.07433
50 300 4.23853
51 300 4.23853
52 150 4.23853
53 100 4.23853
54 75 4.23853
55 60 4.23853
56 30 4.23853
57 15 4.23853
58 10 4.23853
59 7.5 4.23853
60 6 4.23853
61 5 4.23853
62 4.2857 4.23853
63 3.75 4.23853
64 3.333 4.23853
65 3 4.23853
66 2.7272 4.23853
67 2.5 4.23853
68 2.3077 4.23853
69 2.1429 4.23853
70 2 4.23853
71 1.875 4.23853
72 1.7647 4.23853
73 1.66667 4.23853
74 1.5789 4.23853
75 1.5 4.23853
76 300 3.92482
77 300 3.92482
78 150 3.92482
79 100 3.92482
80 75 3.92482
81 60 3.92482
82 30 3.92482
83 15 3.92482
84 10 3.92482
85 7.5 3.92482
86 6 3.92482
87 5 3.92482
88 4.2857 3.92482
89 3.75 3.92482
90 3.333 3.92482
91 3 3.92482
92 2.7272 3.92482
93 2.5 3.92482
94 2.3077 3.92482
95 2.1429 3.92482
96 2 3.92482
97 1.875 3.92482
98 1.7647 3.92482
99 1.66667 3.92482
100 1.5789 3.92482
101 1.5 3.92482
102 300 3.47883
103 300 3.47883
104 150 3.47883
105 100 3.47883
106 75 3.47883
107 60 3.47883
108 30 3.47883
109 15 3.47883
110 10 3.47883
111 7.5 3.47883
112 6 3.47883
113 5 3.47883
114 4.2857 3.47883
115 3.75 3.47883
116 3.333 3.47883
117 3 3.47883
118 2.7272 3.47883
119 2.5 3.47883
120 2.3077 3.47883
121 2.1429 3.47883
122 2 3.47883
123 1.875 3.47883
124 1.7647 3.47883
125 1.66667 3.47883
126 1.5789 3.47883
127 1.5 3.47883

Angle Coeffs # harmonic

1 300 180
2 300 60
3 300 150
4 1 180

Atoms # molecular

11296 589 21 -3.8836456828266769e+01 -4.6349291998026899e+01 -4.1019908917204901e+01 0 -1 1
1235 25 2 -4.8340303537434366e+01 -4.7769982521225650e+01 -4.3593168130272048e+01 0 -1 1
10595 238 21 -4.2810893281775968e+01 -4.4010309456027443e+01 -3.7466859844419787e+01 0 -2 2
10594 238 21 -4.3975323165638791e+01 -4.4629728173713751e+01 -4.2177851752293172e+01 0 -2 2
12696 1289 21 -3.7555406497967361e+01 -4.2483056359581461e+01 -3.8327616894328401e+01 1 -1 2
7152 36 3 -4.0372474032568633e+01 -4.7758433293951661e+01 -4.5390892490499589e+01 0 -1 2
5947 15 2 -4.0922218342522278e+01 -4.3690646909819648e+01 -4.5287994328009475e+01 0 -1 2
10779 330 21 -4.6178698267012969e+01 -4.0911967213229346e+01 -3.9497753228756586e+01 0 -1 2
1270 25 18 -4.6838032615751494e+01 -4.0921350558481507e+01 -4.3803987020808329e+01 0 -1 1
1272 25 19 -4.2860518047815511e+01 -4.0350132629627282e+01 -4.3446864419917446e+01 0 -1 1
7148 36 15 -4.6459675728847813e+01 -4.6290518746706638e+01 -4.6624430508202536e+01 0 -1 2
11198 540 21 -3.7368224069948326e+01 -4.1308008640979359e+01 -4.3187768561396098e+01 1 -1 2
1271 25 18 -4.4445360222363206e+01 -4.1709188600587993e+01 -4.6523274998853928e+01 0 -1 1
11294 588 21 -4.1622018710424619e+01 -3.8289949687237630e+01 -3.9450373565810715e+01 1 -1 2
5946 15 1 -4.0812111289353773e+01 -4.0073111631364839e+01 -4.6718757589483907e+01 0 -1 2
2037 40 19 -3.7247724484845399e+01 -4.5318507341327489e+01 -4.5168293068486705e+01 0 -1 1
